"Zeitstempel","دو متن بالا به دو زبان مختلفند.","دو متن بالا به دو گویش مختلفند.","دو متن بالا دو سطح مختلف یک زبانند.","نوع گفتار دو متن بالا فرقی با هم ندارند."," نوع گفتار متن ۱ را چه نام می‌برید؟ شما میتوانید یک تا چند گزینه را انتخاب کنید و یا موارد دیگر را خود اضافه کنید."," نوع گفتار متن ۲ را چه نام می‌برید؟ شما میتوانید یک تا چند گزینه را انتخاب کنید و یا موارد دیگر را خود اضافه کنید.","یادگیری نوع گفتار متن ۱ برای فارسی‌زبانان فقط با آموزش رسمی ممکن است.","یادگیری نوع گفتار متن ۲ برای فارسی‌زبانان فقط با آموزش رسمی ممکن است.","در تسلط و توانایی استفاده از نوع گفتار متن ۱ به خود چه نمره‌ای می‌دهید؟","در تسلط و توانایی استفاده از نوع گفتار متن ۲ به خود چه نمره‌ای می‌دهید؟","آیا تسلط و توانایی استفاده شما از زبان فارسی تا به حال برای رسیدگی به امور زندگیتان کافی بوده است؟","به نظر شما تسلط و توانایی استفاده از نوع گفتار متن ۱ برای یک فارسی‌زبان تا چه حد ضروری است؟","به نظر شما تسلط و توانایی استفاده از نوع گفتار متن ۲ برای یک فارسی‌زبان تا چه حد ضروری است؟","به نظر شما همه فارسی‌زبانان در ایران دسترسی و امکان یکسانی برای یادگیری نوع  گفتار متن ۱ دارند؟","به نظر شما همه فارسی‌زبانان در ایران دسترسی و امکان یکسانی برای یادگیری نوع  گفتار متن ۲ دارند؟","به نظر شما استفاده از انواع گفتار متون بالا به موقعیت و زمینه‌ی استفاده بستگی دارد یا به هویت شخص گوینده (مثلاً شغل، ثروت، جنسیت، سطح تحصیل، جایگاه اجتماعی...)؟","نوع گفتار متن ۱ بیقاعده است.","نوع گفتار متن ۲  بیقاعده است.","استفاده از نوع گفتار متن ۱ پرستیژ و جایگاه بالایی دارد.","استفاده از نوع گفتار متن ۲ پرستیژ و جایگاه بالایی دارد.","نوع گفتار متن ۱ نسبت به گذشته در موقعیت‌های بیشتری استفاده میشود.","نوع گفتار متن ۲ نسبت به گذشته در موقعیت‌های بیشتری استفاده میشود.","در آینده نزدیک نوع گفتار متن ۱ جای نوع گفتار متن ۲ را خواهد گرفت.","در آینده نزدیک نوع گفتار متن ۲ جای نوع گفتار متن ۱ را خواهد گرفت.","نوع گفتار متن ۱ در معرض خطر منقرض یا منسوخ شدن است.","نوع گفتار متن ۲ در معرض خطر منقرض یا منسوخ شدن است.","نوع گفتار متن ۱ باید محافظت شود.","نوع گفتار متن ۲ باید محافظت شود.","این لازم یا مفید است که نوع گفتار متن ۱ جای نوع گفتار متن ۲ را بگیرد.","این لازم یا مفید است که نوع گفتار متن ۲ جای نوع گفتار متن ۱ را بگیرد.","وجود چند نوع گفتار باعث بروز مشکل برای فارسی‌زبانان است.","سن ","جنسیت","آخرین مدرک تحصیلی","     آیا فارسی اولین زبانی است که یاد گرفتید؟","آیا غیر از زبان‌(های) اولتان، زبان(های) دیگری نیز بلدید (مثلاً یادگیری انگلیسی در مدرسه یا خودآموزی فرانسوی)؟"
"2020/05/03 12:13:36 AM OEZ","1","2","3","1","فارسی رسمی;فارسی ادبی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی سنتی","3","1","10","10","9","4","4","خیر","خیر","3","2","3","4","3","2","4","1","4","4","1","4","3","2","2","1","۲۵-۳۴","مرد","کارشناسی","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/03 12:22:21 AM OEZ","1","2","5","1","فارسی رسمی","فارسی محاوره‌ای","1","1","9","9","10","5","5","نمیدانم","بله","4","1","4","5","1","1","5","1","4","5","1","5","4","1","1","1","۱۸-۲۴","زن","کارشناسی ارشد","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/03 12:47:35 AM OEZ","4","2","2","5","فارسی کتابی;فارسی رسمی","فارسی عامیانه;فارسی محاوره‌ای","4","1","10","10","8","5","3","خیر","خیر","3","2","5","5","2","2","5","2","4","4","1","5","1","5","1","3","۱۸-۲۴","زن","کارشناسی","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/03 4:09:10 AM OEZ","1","2","4","1","فارسی ادبی","فارسی عامیانه","3","1","8","8","8","5","2","خیر","بله","1","1","3","3","3","4","2","4","2","2","4","4","2","4","2","5","۱۸-۲۴","زن","کارشناسی","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 5:32:13 AM OEZ","1","1","5","1","فارسی ادبی","فارسی عامیانه","3","1","3","8","8","5","1","بله","بله","4","1","4","5","1","3","2","2","4","4","1","5","1","5","1","4","۳۵-۴۴","زن","کارشناسی","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 6:45:55 AM OEZ","2","2","5","1","فارسی کتابی;فارسی رسمی;فارسی ادبی","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","4","1","9","10","10","5","2","خیر","نمیدانم","3","1","4","5","1","3","4","1","4","4","1","5","2","3","1","1","۳۵-۴۴","زن","کارشناسی ارشد","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","خیر"
"2020/05/03 6:51:11 AM OEZ","1","5","5","1","فارسی کتابی;فارسی ادبی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری","3","1","8","8","5","5","3","خیر","بله","3","1","5","3","1","1","5","3","5","4","1","5","1","5","1","3","۳۵-۴۴","مرد","کارشناسی","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 7:09:40 AM OEZ","1","5","5","1","فارسی کتابی;فارسی رسمی","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","4","1","10","10","9","5","2","بله","بله","3","1","2","5","1","3","5","3","3","4","1","3","1","3","3","3","۲۵-۳۴","مرد","کارشناسی ارشد","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 7:11:01 AM OEZ","5","5","5","1","فارسی رسمی;فارسی سنتی;فارسی نوشتاری","فارسی عامیانه;فارسی محاوره‌ای","5","1","7","2","8","5","2","خیر","خیر","5","1","5","1","5","1","5","1","5","5","1","5","1","5","1","3","۲۵-۳۴","مرد","کارشناسی ارشد","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/03 9:12:48 AM OEZ","1","1","4","3","فارسی کتابی;فارسی رسمی","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","4","1","10","10","10","4","5","خیر","بله","3","3","3","3","2","2","1","1","4","3","1","4","3","1","1","1","۱۸-۲۴","زن","دکترا و بالاتر","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 10:10:09 AM OEZ","1","2","5","1","فارسی کتابی;فارسی رسمی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","3","1","9","10","9","5","2","خیر","بله","2","1","5","1","2","2","5","2","4","5","1","5","2","4","1","5","۲۵-۳۴","زن","کارشناسی ارشد","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 10:20:59 AM OEZ","1","2","1","2","فارسی کتابی;فارسی رسمی;فارسی ادبی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","3","1","9","10","8","5","5","خیر","بله","2","3","3","4","2","4","3","1","5","5","1","5","3","2","3","1","۱۸-۲۴","زن","کارشناسی","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 10:24:24 AM OEZ","1","1","5","1","فارسی رسمی;فارسی نوشتاری","فارسی گفتاری;فارسی محاوره‌ای","5","2","10","10","9","5","3","بله","بله","3","1","4","4","2","1","5","3","3","4","2","5","2","2","1","2","۶۰ یا بالاتر","مرد","کارشناسی ارشد","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 10:33:49 AM OEZ","5","2","5","1","فارسی کتابی;فارسی ادبی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","4","1","10","10","10","3","5","بله","بله","5","1","4","3","1","5","1","1","3","1","1","5","3","1","1","1","۳۵-۴۴","زن","کارشناسی ارشد","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 10:34:05 AM OEZ","5","2","5","1","فارسی کتابی;فارسی ادبی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","4","1","10","10","10","3","5","بله","بله","5","1","4","3","1","5","1","1","3","1","1","5","3","1","1","1","۳۵-۴۴","زن","کارشناسی ارشد","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 10:44:48 AM OEZ","1","1","5","1","فارسی رسمی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","3","1","10","10","10","5","3","خیر","خیر","3","1","1","5","2","3","2","1","3","4","1","5","3","1","1","1","۳۵-۴۴","مرد","کارشناسی","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 11:27:04 AM OEZ","3","5","4","5","فارسی ادبی;فارسی نوشتاری","فارسی عامیانه;فارسی محاوره‌ای","2","3","9","10","10","3","4","نمیدانم","بله","2","1","5","4","2","2","3","1","5","4","2","3","3","2","3","4","۱۸-۲۴","زن","دیپلم","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 11:56:16 AM OEZ","2","5","5","1","فارسی محاوره ای نسل جوان","فارسی گفتاری;فارسی پر از اشتباهات بسیار ","4","4","10","2","10","5","1","بله","نمیدانم","5","1","5","5","1","3","4","3","4","3","3","5","1","5","1","2","۶۰ یا بالاتر","زن","دیپلم","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/03 12:52:06 PM OEZ","1","1","4","2","فارسی کتابی;فارسی رسمی","فارسی عامیانه;فارسی محاوره‌ای","4","1","10","9","9","4","2","خیر","بله","3","1","4","4","1","1","5","1","5","4","1","5","2","4","2","4","۱۸-۲۴","زن","دیپلم","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/03 2:34:28 PM OEZ","1","2","5","1","فارسی کتابی;فارسی رسمی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","5","2","8","10","9","4","5","خیر","بله","1","1","2","2","3","2","3","1","3","2","1","3","4","1","1","1","۱۸-۲۴","زن","دیپلم","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 3:52:03 PM OEZ","3","3","4","2","فارسی ادبی","فارسی عامیانه;فارسی گفتاری","1","1","7","7","9","3","3","بله","بله","3","1","3","4","2","4","5","2","4","3","2","4","3","3","3","3","۳۵-۴۴","مرد","کارشناسی ارشد","خیر، فارسی را بعد از زبان/گویش دیگری (مانند ترکی یا رشتی) یاد گرفتم (مثلاً از زمان ورود به مدرسه).","خیر"
"2020/05/03 3:52:22 PM OEZ","3","3","4","2","فارسی ادبی","فارسی عامیانه;فارسی گفتاری","1","1","7","7","9","3","3","بله","بله","3","1","3","4","2","4","5","2","4","3","2","4","3","3","3","3","۳۵-۴۴","مرد","کارشناسی ارشد","خیر، فارسی را بعد از زبان/گویش دیگری (مانند ترکی یا رشتی) یاد گرفتم (مثلاً از زمان ورود به مدرسه).","خیر"
"2020/05/03 3:52:27 PM OEZ","1","1","5","1","فارسی کتابی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","5","1","9","10","10","5","2","نمیدانم","خیر","1","1","3","3","3","2","2","2","4","5","2","5","3","2","1","1","۴۵-۵۹","زن","کارشناسی ارشد","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 3:54:26 PM OEZ","1","2","3","2","فارسی محاوره‌ای","فارسی عامیانه","4","1","8","6","5","5","3","نمیدانم","نمیدانم","4","4","5","3","1","4","4","3","4","4","1","5","2","3","1","3","۱۸-۲۴","زن","کارشناسی","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/03 4:16:54 PM OEZ","3","3","3","3","فارسی ادبی","فارسی نوشتاری","3","3","6","6","6","3","4","نمیدانم","نمیدانم","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","۱۸-۲۴","مرد","زیر دیپلم","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/03 8:06:16 PM OEZ","1","1","4","2","فارسی کتابی;فارسی رسمی;فارسی نوشتاری","فارسی عامیانه;فارسی محاوره‌ای","3","1","6","7","4","5","3","بله","نمیدانم","3","4","5","4","2","5","4","2","4","4","2","5","3","3","3","4","۲۵-۳۴","زن","کارشناسی","بله، فقط فارسی را یاد گرفتم.","بله"
